,Coherence,Confidence,ReactionTime,SubResponse,TrueDirection,ACC,SubjectNumber
428,3.2,3,3027,0,0,1,3
429,1.6,3,2138,0,0,1,3
430,1.6,3,1150,180,0,0,3
431,25.6,5,703,0,0,1,3
432,1.6,5,1386,180,0,0,3
433,25.6,6,919,180,180,1,3
434,25.6,6,978,180,180,1,3
435,25.6,6,920,180,180,1,3
436,6.4,2,1578,0,0,1,3
437,25.6,4,697,0,0,1,3
438,12.8,5,704,180,180,1,3
439,1.6,4,1991,180,180,1,3
440,1.6,4,1813,180,180,1,3
441,1.6,1,3746,0,0,1,3
442,3.2,2,1885,0,0,1,3
443,1.6,3,1170,180,180,1,3
444,1.6,1,2937,0,0,1,3
445,12.8,6,1027,180,180,1,3
446,6.4,4,2239,180,0,0,3
447,6.4,5,1310,180,180,1,3
448,1.6,5,2321,180,0,0,3
449,3.2,3,3923,180,0,0,3
450,25.6,6,818,180,180,1,3
451,12.8,3,2065,0,0,1,3
452,3.2,3,1284,180,0,0,3
453,1.6,3,3216,180,180,1,3
454,1.6,1,3317,180,180,1,3
455,3.2,3,1688,0,0,1,3
456,6.4,1,3629,0,180,0,3
457,3.2,3,735,180,180,1,3
458,6.4,2,5023,180,180,1,3
459,12.8,5,794,180,180,1,3
460,12.8,5,3199,180,180,1,3
461,3.2,3,1984,180,180,1,3
462,1.6,1,5022,0,0,1,3
463,1.6,1,2210,180,0,0,3
464,6.4,1,1955,0,0,1,3
465,25.6,6,619,0,0,1,3
466,25.6,6,644,180,180,1,3
467,3.2,4,1829,180,180,1,3
468,25.6,6,751,0,0,1,3
469,12.8,6,778,0,0,1,3
470,3.2,5,1100,180,180,1,3
471,25.6,6,673,0,0,1,3
472,1.6,5,1166,180,180,1,3
473,3.2,5,877,0,0,1,3
474,1.6,6,1183,180,0,0,3
475,25.6,6,646,0,0,1,3
476,1.6,5,2810,0,0,1,3
477,12.8,5,1095,0,0,1,3
478,1.6,5,1352,180,0,0,3
479,6.4,6,692,0,0,1,3
480,3.2,6,797,0,180,0,3
481,6.4,6,1143,180,180,1,3
482,3.2,6,668,0,0,1,3
483,12.8,6,801,180,180,1,3
484,3.2,6,851,0,0,1,3
485,1.6,6,589,180,180,1,3
486,3.2,6,651,0,180,0,3
487,25.6,6,716,0,0,1,3
488,1.6,4,1179,180,0,0,3
489,12.8,5,626,0,0,1,3
490,3.2,4,2819,180,180,1,3
491,6.4,2,3398,180,180,1,3
492,25.6,5,781,0,0,1,3
493,12.8,6,752,180,180,1,3
494,25.6,6,656,0,0,1,3
495,6.4,6,1366,180,180,1,3
496,25.6,6,935,180,180,1,3
497,25.6,6,782,180,180,1,3
498,12.8,6,1180,180,180,1,3
499,6.4,5,1913,180,180,1,3
500,25.6,6,1055,180,180,1,3
501,6.4,4,1169,180,180,1,3
502,25.6,6,983,180,180,1,3
503,12.8,4,1850,180,180,1,3
504,12.8,4,770,180,180,1,3
505,3.2,5,1108,180,180,1,3
506,12.8,6,630,0,0,1,3
507,3.2,5,959,180,180,1,3
508,1.6,1,4268,180,180,1,3
509,12.8,6,965,0,0,1,3
510,3.2,1,3190,0,180,0,3
511,3.2,2,2778,0,180,0,3
512,1.6,2,2212,180,180,1,3
513,25.6,6,651,0,0,1,3
514,25.6,6,648,0,0,1,3
515,1.6,4,1176,180,180,1,3
516,3.2,4,1665,0,0,1,3
517,6.4,3,2155,180,180,1,3
